fold,acc,precision_macro,recall_macro,f1_macro
1,0.95,0.9435861964122834,0.953125,0.9461826623958248
2,0.9555555555555556,0.9542861305361305,0.9583333333333333,0.9557480711988773
3,0.9277777777777778,0.9450757575757576,0.9010416666666667,0.9096688008179561
4,0.9,0.9056276272037141,0.8958333333333334,0.8961281154934517
5,0.925,0.9367991056071552,0.90625,0.9119918822480493
6,0.9083333333333333,0.919547643618851,0.9140625,0.9069697791139917
7,0.9666666666666667,0.9709456699346406,0.953125,0.9591572791139916
8,0.8416666666666667,0.8683283730158731,0.8515625,0.8455400722116804
9,0.925,0.9358585858585858,0.921875,0.9223311546840958
10,0.875,0.880496137849079,0.875,0.8610000568284799
