fold,acc,precision_macro,recall_macro,f1_macro
1,0.9388888888888889,0.9336363636363636,0.9427083333333333,0.9359780143941634
2,0.95,0.945836038961039,0.953125,0.9484753736583227
3,0.9277777777777778,0.9450757575757576,0.9010416666666667,0.9096688008179561
4,0.9,0.9053129509379509,0.8958333333333334,0.8957584089460162
5,0.925,0.9352941176470588,0.90625,0.9115653479979855
6,0.9083333333333333,0.919547643618851,0.9140625,0.9069697791139917
7,0.9666666666666667,0.9709456699346406,0.953125,0.9591572791139916
8,0.8416666666666667,0.8648317297933666,0.8515625,0.8443927820018902
9,0.925,0.9358585858585858,0.921875,0.9223311546840958
10,0.875,0.880496137849079,0.875,0.8610000568284799
